phase,window,variant,symbol,sector,recommendation,confidence,raw_confidence,calibrated_probability,calibrated_confidence,calibration_method,calibration_version,strategy_name,entry_date,entry_price,quantity,requested_quantity,partial_fill,gap_pct,invested,exit_date,exit_price,exit_reason,holding_days,gross_pnl,net_pnl,return_pct,total_costs,mae_pct,mfe_pct,intrabar_rule,market_regime,max_data_timestamp
3A.5,W3,C,ONGC,ENERGY,BUY,79.3,79.3,0.62605,62.6,isotonic,3,Trend Rider,2024-10-21,255.4395,1,1,False,-0.76,255.44,2024-10-23,243.2674,Stop-Loss Hit,2,-11.8,-12.73,-4.98,0.93,-5.8,0.0,conservative,Neutral-Bullish,2024-10-18
3A.5,W3,C,SHRIRAMFIN,FINANCE,BUY,67.2,67.2,0.497357,49.7,isotonic,3,Trend Rider,2024-10-11,652.1358,1,1,False,0.37,652.14,2024-10-25,610.1021,Stop-Loss Hit,10,-41.09,-43.44,-6.66,2.35,-9.68,2.57,conservative,Neutral-Bullish,2024-10-10
3A.5,W3,C,POWERGRID,ENERGY,BUY,60.3,60.3,0.423971,42.4,isotonic,3,Trend Rider,2024-10-08,309.076,2,2,False,-0.5,618.15,2024-10-28,294.7288,Stop-Loss Hit,14,-27.79,-30.04,-4.86,2.25,-5.13,3.22,conservative,Neutral-Bullish,2024-10-07
3A.5,W3,C,BAJFINANCE,FINANCE,BUY,91.2,91.2,0.752615,75.3,isotonic,3,MACD Cross,2024-11-06,685.5497,1,1,False,0.07,685.55,2024-11-12,655.2264,Signal Exit,4,-29.32,-31.82,-4.64,2.5,-4.69,1.42,conservative,Bearish,2024-11-05
3A.5,W3,C,ONGC,ENERGY,BUY,79.3,79.3,0.62605,62.6,isotonic,3,Trend Rider,2024-10-24,247.0354,3,3,False,0.39,741.11,2024-11-13,231.4663,Stop-Loss Hit,14,-45.63,-48.31,-6.52,2.68,-8.49,0.83,conservative,Neutral-Bullish,2024-10-23
3A.5,W3,C,SHRIRAMFIN,FINANCE,BUY,67.2,67.2,0.497357,49.7,isotonic,3,Trend Rider,2024-10-28,615.9277,1,1,False,2.31,615.93,2024-11-13,556.9919,Stop-Loss Hit,12,-58.06,-60.24,-9.78,2.19,-9.71,3.77,conservative,Bearish,2024-10-25
3A.5,W3,C,POWERGRID,ENERGY,BUY,60.3,60.3,0.423971,42.4,isotonic,3,Trend Rider,2024-10-29,298.4997,2,2,False,-0.69,597.0,2024-11-28,319.116,Time Exit,20,42.16,39.86,6.68,2.3,-2.41,10.75,conservative,Bearish,2024-10-28
3A.5,W3,C,ONGC,ENERGY,BUY,79.3,79.3,0.62605,62.6,isotonic,3,Trend Rider,2024-11-14,229.4549,3,3,False,0.0,688.36,2024-12-13,236.3099,Signal Exit,19,21.61,19.01,2.76,2.6,-2.39,7.3,conservative,Bearish,2024-11-13
3A.5,W3,C,SHRIRAMFIN,FINANCE,BUY,67.2,67.2,0.497357,49.7,isotonic,3,Trend Rider,2024-11-14,559.2078,1,1,False,-0.04,559.21,2024-12-16,614.0832,Time Exit,20,55.76,53.58,9.58,2.18,-3.83,14.45,conservative,Bearish,2024-11-13
3A.5,W3,C,HINDALCO,METALS,BUY,84.5,84.5,0.681355,68.1,isotonic,3,MACD Cross,2024-11-26,655.1499,1,1,False,0.46,655.15,2024-12-17,631.0267,Signal Exit,15,-23.16,-25.55,-3.9,2.4,-3.96,2.47,conservative,Neutral-Bearish,2024-11-25
3A.5,W3,C,SHRIRAMFIN,FINANCE,BUY,82.2,82.2,0.656893,65.7,isotonic,3,Trend Rider,2024-12-17,614.5248,1,1,False,-0.08,614.52,2024-12-18,579.0654,Stop-Loss Hit,1,-34.56,-36.79,-5.99,2.22,-7.28,0.0,conservative,Neutral-Bearish,2024-12-16
3A.5,W3,C,POWERGRID,ENERGY,BUY,93.2,93.2,0.773886,77.4,isotonic,3,Trend Rider,2024-11-29,317.3919,2,2,False,-0.69,634.78,2024-12-19,307.6388,Signal Exit,14,-18.57,-20.9,-3.29,2.33,-4.45,1.4,conservative,Neutral-Bearish,2024-11-28
3A.5,W3,C,ONGC,ENERGY,BUY,79.3,79.3,0.62605,62.6,isotonic,3,Trend Rider,2024-12-16,236.4319,3,3,False,-0.1,709.3,2024-12-19,223.0654,Stop-Loss Hit,3,-39.07,-41.63,-5.87,2.57,-6.15,0.0,conservative,Neutral-Bearish,2024-12-13
3A.5,W3,C,BAJFINANCE,FINANCE,BUY,80.1,80.1,0.634558,63.5,isotonic,3,MACD Cross,2024-11-27,657.3764,1,1,False,0.48,657.38,2024-12-23,677.7805,Signal Exit,18,21.41,18.92,2.88,2.48,-2.46,9.05,conservative,Neutral-Bearish,2024-11-26
3A.5,W3,C,POWERGRID,ENERGY,BUY,60.3,60.3,0.423971,42.4,isotonic,3,Trend Rider,2024-12-20,307.7652,1,1,False,-0.11,307.77,2024-12-30,293.6596,Stop-Loss Hit,5,-13.65,-14.77,-4.8,1.12,-4.74,0.0,conservative,Bearish,2024-12-19
3A.5,W3,C,SHRIRAMFIN,FINANCE,BUY,67.2,67.2,0.497357,49.7,isotonic,3,Trend Rider,2024-12-19,562.5793,1,1,False,-2.09,562.58,2024-12-31,565.4842,End-of-Test Forced Close,7,3.75,1.65,0.29,2.1,-0.99,3.37,conservative,Bearish,2024-12-18
3A.5,W3,C,ONGC,ENERGY,BUY,79.3,79.3,0.62605,62.6,isotonic,3,Trend Rider,2024-12-20,224.7965,1,1,False,-0.14,224.8,2024-12-31,222.3683,End-of-Test Forced Close,6,-2.09,-2.93,-1.3,0.83,-4.36,0.65,conservative,Bearish,2024-12-19
3A.5,W6,C,WIPRO,IT,BUY,72.2,72.2,0.494637,49.5,isotonic,6,MACD Cross,2025-08-19,239.4618,2,2,False,0.1,478.92,2025-09-05,237.3592,Signal Exit,12,-3.49,-5.27,-1.1,1.78,-1.78,4.74,conservative,Neutral-Bearish,2025-08-18
3A.5,W6,C,WIPRO,IT,BUY,70.2,70.2,0.473482,47.3,isotonic,6,MACD Cross,2025-09-11,249.4515,2,2,False,-0.02,498.9,2025-09-24,238.9407,Stop-Loss Hit,9,-20.29,-22.11,-4.43,1.82,-4.55,1.53,conservative,Neutral-Bearish,2025-09-10
3A.5,W7,C,ONGC,ENERGY,BUY,81.4,81.4,0.584925,58.5,isotonic,7,Mean Reversion,2025-12-16,228.9579,3,3,False,-0.5,686.87,2025-12-17,223.9919,Stop-Loss Hit,1,-13.88,-16.41,-2.39,2.53,-2.45,0.0,conservative,Neutral-Bullish,2025-12-15
3A.5,W7,C,ONGC,ENERGY,BUY,69.8,69.8,0.461459,46.1,isotonic,7,Mean Reversion,2025-12-18,227.8139,3,3,False,0.04,683.44,2025-12-31,234.6774,Signal Exit,8,21.63,19.05,2.79,2.58,-0.72,3.36,conservative,Neutral-Bullish,2025-12-17
