selection_date,buy_date,sell_date,stock,sector,selection_reason,buy_price,sell_price,quantity,investment,pnl_rupees,pnl_pct,outcome
2026-07-02,2026-07-03,2026-07-07,SBIN,BANKING,"Opportunity score 62.6/100 (Trend Rider, BUY)",1055.0,1038.1,10,10550.0,-169.0,-1.6,Small Loss
2026-07-02,2026-07-03,2026-07-07,ONGC,ENERGY,"Opportunity score 57.6/100 (MACD Cross, WATCH)",237.2,244.18,10,2372.0,69.8,2.94,Good
2026-07-02,2026-07-03,2026-07-07,POWERGRID,ENERGY,"Opportunity score 51.5/100 (MACD Cross, WATCH)",288.5,284.35,10,2885.0,-41.5,-1.44,Small Loss
2026-07-02,2026-07-03,2026-07-07,TATACONSUM,FMCG,"Opportunity score 50.1/100 (Mean Reversion, WATCH)",1115.3,1125.0,10,11153.0,97.0,0.87,Weak Profit
2026-07-02,2026-07-03,2026-07-07,NESTLEIND,FMCG,"Opportunity score 48.5/100 (Trend Rider, WATCH)",1448.0,1471.8,10,14480.0,238.0,1.64,Weak Profit
2026-07-02,2026-07-03,2026-07-07,HINDALCO,METALS,"Opportunity score 48.5/100 (Trend Rider, WATCH)",965.0,969.5,10,9650.0,45.0,0.47,Weak Profit
2026-07-02,2026-07-03,2026-07-07,NTPC,ENERGY,"Opportunity score 47.4/100 (MACD Cross, WATCH)",358.25,354.2,10,3582.5,-40.5,-1.13,Small Loss
2026-07-02,2026-07-03,2026-07-07,TATASTEEL,METALS,"Opportunity score 46.4/100 (MACD Cross, WATCH)",190.6,189.79,10,1906.0,-8.1,-0.42,Small Loss
2026-07-02,2026-07-03,2026-07-07,HCLTECH,IT,"Opportunity score 42.4/100 (Mean Reversion, WATCH)",1127.1,1168.2,10,11271.0,411.0,3.65,Good
2026-07-03,2026-07-06,2026-07-08,SBIN,BANKING,"Opportunity score 58.0/100 (Trend Rider, WATCH)",1041.9,1016.9,10,10419.0,-250.0,-2.4,Failed
2026-07-03,2026-07-06,2026-07-08,ONGC,ENERGY,"Opportunity score 51.9/100 (Trend Rider, WATCH)",239.6,247.0,10,2396.0,74.0,3.09,Good
2026-07-03,2026-07-06,2026-07-08,COALINDIA,ENERGY,"Opportunity score 51.5/100 (Trend Rider, WATCH)",438.7,429.05,10,4387.0,-96.5,-2.2,Failed
2026-07-03,2026-07-06,2026-07-08,POWERGRID,ENERGY,"Opportunity score 51.3/100 (MACD Cross, WATCH)",287.2,279.7,10,2872.0,-75.0,-2.61,Failed
2026-07-03,2026-07-06,2026-07-08,NESTLEIND,FMCG,"Opportunity score 48.5/100 (Trend Rider, WATCH)",1457.1,1450.5,10,14571.0,-66.0,-0.45,Small Loss
